,gender,detailed_class_of_worker,class_of_worker_employed_unemployed,major_industry,detailed_industry,major_occupation,detailed_occupation,manufacturing
123, ,  ,  ,  ,  ,  ,  ,  
124, ,  ,  ,  ,  ,  ,  ,  
125,1,06,01,02,03,02,07,00
126,2,00,00,00,00,00,00,00
127,1,10,01,09,31,06,22,00
128, ,  ,  ,  ,  ,  ,  ,  
129,1,00,00,00,00,00,00,00
130,2,00,00,00,00,00,00,00
131,1,10,01,11,36,05,18,00
132, ,  ,  ,  ,  ,  ,  ,  
133, ,  ,  ,  ,  ,  ,  ,  
134,1,05,02,17,42,01,05,00
135, ,  ,  ,  ,  ,  ,  ,  
136,1,07,01,03,09,06,25,06
137,2,07,01,03,14,06,25,11
138,2,04,01,00,32,08,31,00
139,2,00,00,00,00,00,00,00
140,1,00,00,00,00,00,00,00
141,1,07,01,03,12,05,16,09
142,2,00,00,00,00,00,00,00
143,2,06,01,03,14,03,11,11
144,2,09,01,15,40,03,10,00
145,1,00,00,00,00,00,00,00
146,1,12,03,09,30,02,08,00
147,2,13,04,09,30,09,33,00
148,1,07,01,03,08,06,25,05
149,2,00,00,00,00,00,00,00
150,1,07,01,03,14,05,20,11
151,2,09,01,09,31,03,11,00
152,1,05,02,17,42,03,11,00
153,1,00,00,00,00,00,00,00
154,2,05,02,17,42,03,11,00
155,2,09,01,09,31,04,12,00
156,1,00,00,00,00,00,00,00
157,2,00,00,00,00,00,00,00
158,2,09,01,09,31,04,12,00
159,1,05,02,20,47,01,05,00
160,2,00,00,00,00,00,00,00
161,1,09,01,16,41,01,05,00
162,2,09,01,09,31,03,11,00
163,1,00,00,00,00,00,00,00
164,1,00,00,00,00,00,00,00
165,2,00,00,00,00,00,00,00
166,2,00,00,00,00,00,00,00
167,2,05,02,17,42,01,04,00
168,2,05,02,17,42,01,04,00
169,1,00,00,00,00,00,00,00
170,2,00,00,00,00,00,00,00
171,1,00,00,00,00,00,00,00
172,1,00,00,00,00,00,00,00
173,2,05,02,20,47,03,11,00
174,1,07,01,03,14,05,19,11
175,2,00,00,00,00,00,00,00
176,2,00,00,00,00,00,00,00
177,1,08,01,03,13,09,32,10
178,2,00,00,00,00,00,00,00
179,2,06,01,02,03,03,11,00
180,1,09,01,16,41,01,05,00
181,1,09,01,16,41,01,05,00
